,action_onnut,action_virtual,reward_onnut,reward_virtual,travel_time_onnut,travel_time_virtual,teleport_number
125,1,1,64,15,55.12955170517073,223.64548631862272,0
126,2,1,98,23,154.6508583872183,168.66894603531975,0
127,2,1,88,1,2895.099404616964,740.9337511643685,0
128,2,1,95,10,124.69780748371798,1955.3862255235204,0
129,1,3,88,11,35.67068876053399,1965.1419637736185,0
130,1,1,85,24,387.44526446556625,2805.371538251909,0
131,1,1,30,2,231.45836397128178,3253.6466023820335,0
132,2,1,80,11,175.88538070431855,3396.536555531472,0
133,2,1,93,13,172.0081141296121,3144.595721078113,0
134,2,1,108,13,89.71731033434459,3088.618197887195,0
135,1,3,51,5,113.735052137149,3321.921605259244,0
136,1,1,38,8,16.525969724418314,3397.4402848097084,0
137,1,1,44,8,15.551037730654537,3337.259252987539,0
138,2,1,98,4,61.351833283814386,3169.6212299174313,0
139,2,1,101,16,328.1035951486938,3205.9453224061554,0
140,2,1,101,11,804.3018823741141,3136.557905118484,0
141,1,3,86,12,51.99053046362502,1464.4475859073457,0
142,1,1,80,7,170.58204751765345,1425.4252801747346,0
143,1,1,63,1,198.01647522843035,1799.6933189379006,0
144,2,1,95,8,286.3173172366468,1699.64420219338,0
145,2,1,97,17,142.70312775400402,2912.904757825693,0
146,2,1,101,14,1045.4335583263664,2888.575343823103,0
147,1,1,79,2,259.883015910612,3051.9314637851994,0
148,1,1,87,21,205.6070353118262,2606.109489089922,0
149,1,3,81,22,39.441652889107736,725.6304820886116,0
150,2,1,92,32,50.052496578965275,22.975861764441305,0
151,2,1,96,14,203.63701552157568,29.834731593302667,0
152,2,1,91,24,838.5405768172968,2.5735313558917317,0
153,1,1,84,21,168.38917357634196,14.196378686745229,0
154,1,1,83,19,21.796122603473986,1578.850380427706,0
155,1,1,65,19,520.9859224644201,314.9000441186949,0
156,2,1,95,16,100.28411615733248,856.0025696053091,0
157,2,1,107,9,39.635796697445286,351.11123590423006,0
158,2,1,115,17,663.3769105058335,60.69399882901389,0
159,1,3,84,15,145.16035184112187,198.5550328809368,0
160,1,1,80,18,11.119384615432969,25.59671822418456,0
161,1,1,75,20,27.198280761858214,12.013006377463757,0
162,2,1,92,9,11.249450370261568,1615.604171717468,0
163,2,1,92,11,425.2409807079683,890.2045136961254,0
164,2,1,96,20,723.1634015085643,1461.681145001243,0
165,2,1,55,26,705.3166282529595,1263.2994084844927,0
166,2,1,56,13,1543.3745604228366,1391.4951029511453,0
167,2,1,20,17,1577.7850121191843,700.3179068123226,0
168,1,3,70,16,950.6019330202013,770.0489977284481,0
169,1,1,93,18,833.7316500743777,13.70113471407375,0
170,1,1,93,14,486.88373380770656,955.4371225680052,0
171,2,1,100,8,110.10446802532918,59.79172367872816,0
172,2,1,112,17,23.867933342065403,0.9708399872257935,0
173,2,1,88,14,769.376619913816,1.7523948925407358,0
174,2,1,80,17,750.9394879067395,13.450928942195572,0
175,2,1,72,23,1481.5540891031312,57.875092133563044,0
176,1,3,92,17,850.6613001677856,2.9300250024325574,0
177,1,1,114,21,33.24497115275621,21.737328879557953,0
178,1,1,113,20,153.15848984001641,15.802536715051833,0
179,2,1,126,12,15.410536565769636,64.89790983035375,0
180,2,1,125,14,49.03528462275918,0.5188403550646858,0
181,2,1,119,32,677.2172996574036,10.910970083525118,0
182,2,1,85,20,686.1846278189398,20.536155638982294,0
183,2,1,31,12,1586.9357238113637,67.96405021060993,0
184,1,3,60,18,875.6565503733194,51.79585543905834,0
185,1,1,109,19,244.37922542494533,14.640658974265094,0
186,1,1,118,11,212.3361258920641,1841.8158745702021,0
187,2,1,117,8,19.70553372652955,29.763908964352442,0
188,2,1,115,14,25.793330808317716,20.160513431354484,0
189,2,1,115,15,711.8865382161542,2.3501705772274644,0
190,2,1,107,18,1096.4392560578917,12.181107889771146,0
191,1,1,86,17,989.786706360109,16.453154711965727,0
192,1,3,98,19,20.596993563593173,8.393489554744159,0
193,1,1,116,24,14.52916001555285,11.3559842368311,0
194,2,1,103,8,322.62505446684423,17.31935795149566,0
195,2,1,107,15,96.5015771467548,3.3048061942105376,0
196,2,1,88,18,809.7022197002674,1.2974847349416543,0
197,2,1,71,18,745.3210172197892,2.8337023225671887,0
198,2,1,38,32,727.5889634272598,29.122706401117217,0
199,1,3,80,15,919.3548855407175,144.83665147604518,0
200,1,1,81,15,7.3368225393181925,768.7196269992351,0
201,1,1,93,25,7.228186360429205,563.4810633951702,0
202,2,1,114,12,5.617679452972175,16.564756820982836,0
203,2,1,118,17,22.268646451289456,11.811438186329092,0
204,2,1,102,17,671.3892939963729,0.7907924938255596,0
205,2,1,74,35,683.2021165145378,19.480533179147994,0
206,2,1,38,20,696.454838500162,32.21875223594539,0
207,1,3,88,17,951.4753865568141,15.745623888406907,0
208,1,1,106,15,1469.6457430395585,88.0704544009185,0
209,1,1,111,15,281.8646505177559,1151.900232803433,0
210,2,1,121,19,10.862569656709601,27.410935847767238,0
211,2,1,113,10,6.978431951597498,1.6986824571756989,0
212,2,1,99,16,805.2979252293115,0.8891966363019411,0
213,2,1,89,20,920.7743668524968,3.070129915110123,0
214,2,1,43,27,1248.4233000970046,32.229753880253085,0
215,2,1,40,15,1299.4445416035048,9.44810820170849,0
216,1,3,48,17,444.01411279932364,16.759815443889167,0
217,1,1,110,20,6.390791509240307,9.497348686146122,0
218,1,1,90,14,9.87250556308369,51.714257840984935,0
219,2,1,90,10,62.210402815296995,804.6357781566228,0
220,2,1,92,15,25.838796461687295,54.359123292192194,0
221,2,1,105,15,406.7045084931818,11.503815054303974,0
222,2,1,109,18,449.2018529105855,21.05588682642405,0
223,1,1,81,15,177.64752120958525,30.67144703221135,0
224,1,3,70,16,134.6903957614218,5.015484966540986,0
225,1,1,106,21,2.732305224277414,14.73663397430542,0
226,2,1,93,28,4.309324401497381,23.199707027094412,0
227,2,1,89,11,14.464039642678873,57.41094050337971,0
228,2,1,82,18,5.449336502807613,5.480672999005064,0
229,2,1,97,36,476.6291041845124,10.598356654122563,0
230,2,1,60,25,696.2820582941554,30.095171856756412,0
231,1,3,76,18,175.73037385561304,51.04642828262824,0
232,1,1,79,16,7.222751145757087,3.0871500861342853,0
233,1,1,93,25,26.961649820852355,44.428664132672544,0
234,2,1,103,17,8.701492507965414,234.7142060410445,0
235,2,1,113,13,12.643421629217478,26.461798546514373,0
236,2,1,93,11,49.929899884785854,7.622195036247136,0
237,2,1,98,18,602.7587416370908,12.70443022573997,0
238,2,1,75,20,619.4929668663692,27.935930798442417,0
239,2,1,51,12,1199.3629139373656,45.08877075020784,0
240,1,3,53,17,2829.0252552003662,21.72032103768734,0
241,1,1,90,21,2547.0559909392437,780.6298881524826,0
242,1,1,110,8,2531.583870023723,1649.6267786491871,0
243,2,1,122,12,3006.3989205247767,92.57361312667605,0
244,2,1,117,15,3075.6147629650472,4.067567686120364,0
245,2,1,108,18,3517.1634780995983,11.62395744519906,0
246,2,1,66,19,3542.195397984982,11.607308151021892,0
247,1,1,76,15,3326.212775483344,57.40494227723658,0
248,1,3,51,18,2909.5531275688363,49.363569288931735,0
249,1,1,65,18,3131.0747446761156,783.7472187411064,0
250,2,1,90,18,3013.885352676619,39.64360008356191,0
251,2,1,107,17,150.38929637879042,30.024648936520283,0
252,2,1,74,16,60.30243733054832,11.700180985340316,0
253,2,1,82,24,96.75385168299356,10.770887334402,0
254,2,1,99,17,2538.9392196126973,32.12817307860036,0
255,2,1,81,9,3408.762506822969,21.053449694562698,0
256,1,3,77,15,2813.7880377470638,18.307259819877096,0
257,1,1,106,12,2441.4710214776924,428.11506547895254,0
258,1,1,98,12,1560.8161100476268,84.59085161227915,0
259,2,1,73,9,104.65991161711301,42.23803158521923,0
260,2,1,61,9,547.9969064036576,32.948919515243794,0
261,2,1,64,16,222.0306067515413,15.859536293130963,0
262,2,1,79,18,1024.9069993494024,26.20752412614508,0
263,2,1,73,12,3022.145001450735,1.936821420063461,0
264,1,3,55,15,2622.5185468204113,7.441410170951062,0
265,1,1,84,19,2270.505514596076,1735.731727315372,0
266,1,1,89,17,442.97859772520974,851.5797330584808,0
267,2,1,86,17,40.74506743252055,80.82763129252272,0
268,2,1,93,16,45.903467456793024,8.81683429850695,0
269,2,1,71,24,261.3688184564597,18.50251738362246,0
270,1,1,83,17,7.860049909112625,13.013287098259282,0
271,1,1,99,12,164.3246835972314,27.986064493904628,0
272,1,3,75,15,10.190302116484343,804.7598783330372,0
273,2,1,92,21,10.57726731412227,50.58273060524027,0
274,2,1,104,26,11.140928853956336,12.202474090620502,0
275,2,1,110,16,37.19079703724131,72.90408588913516,0
276,1,3,83,20,35.93202811277631,2.391970898990739,0
277,1,1,93,19,12.286607085505617,396.47600483329757,0
278,1,1,89,20,9.825770187318135,1664.2628241633756,0
279,2,1,94,19,17.716687464089105,35.628328776924405,0
280,2,1,103,11,14.136250275225226,19.11464096885098,0
281,2,1,100,30,342.64040458620724,3.2709701959590807,0
282,1,3,107,19,140.88429825684287,25.465651938243536,0
283,1,1,120,11,114.23819387130776,20.63123531633581,0
284,1,1,113,11,5.201140830518001,74.86535682963986,0
285,2,1,122,12,25.479924942938066,31.4273872396622,0
286,2,1,134,15,33.91995954262515,33.06289131026673,0
287,2,1,112,11,451.99983492952805,9.206630233059828,0
288,1,1,58,18,438.6618835153935,11.773760417683611,0
289,1,1,101,32,115.63273159616396,27.871847218882834,0
290,1,3,103,16,118.59256774355815,46.82481655151784,0
291,2,1,102,16,6.621296167962434,121.59482351080868,0
292,2,1,103,18,3.3894105650824193,76.46846441418126,0
293,2,1,104,28,8.474545300291297,4.170205100714642,0
294,2,1,101,21,25.933530957884457,34.82472094636629,0
295,2,1,71,12,640.2498347461318,10.072920073783239,0
296,1,1,67,10,8.100491747135742,25.58455785076636,0
297,1,1,95,15,14.63150859309919,25.456780772068978,0
298,1,3,113,18,10.523132576250283,847.9428248893062,0
299,2,1,119,9,14.903772990659382,16.603275090199762,0
300,2,1,114,15,43.395914714705704,8.715080132782896,0
301,2,1,114,24,23.93687562570839,2.732941901089921,0
302,2,1,114,24,117.50124578111199,21.333037292676522,0
303,2,1,43,16,3702.5405930971565,75.41359896057064,0
304,1,3,58,20,2838.388242453818,4.148287786285021,0
305,1,1,91,22,2818.6626891845012,51.05334810737812,0
306,1,1,92,21,2434.2385655080034,870.0889999076167,0
307,2,1,97,12,158.3234445929778,477.9245181693163,0
308,2,1,115,15,265.7071307461266,10.937260435490101,0
309,2,1,116,17,51.51099812477453,12.660017166641918,0
310,2,1,99,24,9.041921784481847,30.054235207033024,0
311,1,3,97,20,61.338343963103746,145.49520567924137,0
312,1,1,86,17,12.116676590077098,30.659539091936157,0
313,1,1,107,23,24.940292987532523,15.709478580982283,0
314,2,1,82,23,57.310436691101394,24.602054421419762,0
315,2,1,75,15,595.5639743979092,26.22779419880196,0
316,2,1,85,19,2175.4147186595205,0.9740147649596963,0
317,2,1,73,21,2285.5994389681837,26.18661221654791,0
318,2,1,62,16,2541.873284529266,36.09816146482112,0
319,1,3,80,17,2263.5511023079566,30.149529643067606,0
320,1,1,89,14,1833.2002830599165,5.066631790610579,0
321,1,1,107,22,1803.004879211771,11.062354385525026,0
322,2,1,81,13,2128.988311032398,13.97103964755941,0
323,2,1,68,9,2330.1459162710858,0.9652569354984876,0
324,2,1,45,16,2964.907467583196,0.817510981789428,0
325,2,1,58,21,2728.8981785137125,2.4242291839987806,0
