,reward_onnut,reward_virtual,travel_time_onnut,travel_time_virtual
469,35,11,501779.0962,234578.7732
470,37,7,425698.0251,340834.561
471,39,3,400738.0976,350902.9232
472,74,9,291976.1164,344522.4404
473,58,16,284749.4509,343902.7964
474,47,10,254263.9874,348465.1753
475,80,2,238837.5832,356234.5654
476,102,7,133473.8175,348921.8285
477,109,15,140015.646,305679.6116
478,65,7,183500.9043,309797.0207
479,66,0,211947.2673,343643.2273
480,75,7,165772.6427,294910.7385
481,60,7,178000.7723,246328.8134
482,62,15,141847.978,187423.3373
483,63,18,178159.2119,152734.8327
484,85,14,182464.5955,61347.88099
485,84,25,170614.1596,6359.967164
486,57,20,100734.3225,24591.44139
487,41,11,203843.9194,34274.86236
488,37,18,138747.3464,43317.74062
489,65,9,54875.90365,56344.826
490,84,10,182304.2551,107277.549
491,95,12,254726.6838,168682.1149
492,63,21,187997.3593,152736.8202
493,52,25,137560.8496,201458.4741
494,54,8,221891.9305,251097.2131
495,73,3,269153.7967,299565.3552
496,98,4,291690.1245,346052.8495
497,98,2,258053.4457,359768.0174
498,62,8,143293.6495,350632.5487
499,58,2,125523.1009,340492.4439
500,52,4,109001.937,344522.2222
501,71,12,133659.9607,319867.0338
502,89,6,229769.9849,306243.1298
503,93,7,173286.9945,268610.1928
504,70,15,116680.6809,186772.8553
505,77,21,120590.8832,111091.533
506,61,12,265602.458,135344.9628
507,84,1,240223.2499,108120.6274
508,99,16,351523.852,112654.7114
509,118,1,285274.6598,100074.0986
510,71,8,228847.0277,119229.2501
511,99,15,311219.9863,93797.6747
512,69,15,307919.1356,42813.32523
513,64,24,355490.2545,18807.92847
514,74,18,342609.5351,7272.504631
515,89,12,242604.0626,25678.51185
516,79,12,185380.5227,4743.850855
517,81,12,188555.7461,28055.29706
518,94,15,246735.0599,29334.7951
519,121,7,263524.3186,52065.49007
520,92,16,214889.5648,6452.679661
521,67,15,384201.2403,190.2775874
522,55,14,449055.3161,2151.298634
523,54,9,317003.5228,19106.51636
524,76,16,242347.5201,44335.34782
525,84,20,214191.2026,56850.71073
526,89,16,200060.265,59872.6921
527,89,11,140758.1865,38399.36555
528,71,14,96607.78848,6963.731917
529,109,19,131707.4973,10896.72272
530,100,12,162026.8376,2191.895961
531,80,10,121317.2595,22621.60018
532,86,16,21935.95402,45314.83211
533,101,14,42898.67814,17184.35454
534,102,12,39300.68257,18118.72518
535,105,12,101897.4279,9600.581351
536,110,10,145057.88,24286.07747
537,97,7,77718.02681,12449.66694
538,51,21,212872.1334,15442.92753
539,77,13,132899.888,12422.05591
540,74,20,37779.52026,18373.77246
541,94,24,11206.4005,5351.495278
542,98,20,17095.58914,78174.76529
543,93,10,9356.015904,85167.99106
544,109,17,8185.976735,33242.80369
545,138,15,25916.05892,13658.46682
546,111,17,33995.91295,30965.3714
547,106,17,19130.14854,15277.20967
548,62,24,11377.15202,19396.95175
549,84,30,13711.16791,21485.49296
550,98,12,24966.27907,19874.18298
551,87,15,40920.54699,29590.73711
552,91,8,20796.19539,23232.4135
553,93,17,20022.20219,36575.68513
554,95,23,23984.54724,12567.29575
555,88,11,29821.25824,34226.35006
556,67,22,97101.38199,21385.38216
557,104,16,187002.6527,15394.92847
558,107,11,182704.818,45126.98947
559,101,10,46045.85385,18262.54496
560,94,10,33701.42195,9591.069521
561,83,16,90603.76328,17506.23499
562,95,15,37859.30186,8155.993244
563,103,11,28045.37197,22380.55907
564,68,11,47353.80508,6575.445224
565,109,19,31926.17047,29371.85258
566,95,12,26595.42508,17091.73813
567,84,8,37681.59181,31070.74118
568,91,26,29028.57189,4892.263159
569,96,13,22093.98773,8768.785711
570,89,18,78144.23279,23328.51109
571,81,15,36037.58006,20880.21708
572,72,17,18719.02309,8008.414053
573,106,13,16715.76314,22316.36079
574,96,10,28142.50241,9216.489349
575,116,14,47219.55963,894.3335091
576,114,15,110324.5265,9400.686371
577,107,15,167408.8618,13827.19371
578,94,16,219050.1273,165.7943165
579,68,13,194840.6586,5217.343009
580,66,14,124070.3098,4170.292081
581,106,21,76907.4347,23097.53427
582,90,11,20828.46342,68206.86958
583,99,14,130395.6403,79110.78936
584,77,16,189727.8197,21294.30944
585,87,10,251512.667,12410.93079
586,77,14,233525.8177,23106.24881
587,101,12,241955.7164,9774.787086
588,95,17,210944.5061,8709.100816
589,79,21,225342.5305,12548.61415
590,84,15,268292.5262,18264.03378
591,45,14,295901.0358,14396.28897
592,67,15,241756.6585,11948.6704
593,85,26,229178.1708,7507.819464
594,91,15,217759.141,9800.007602
595,99,16,192999.7353,12448.49469
596,126,13,185607.3061,20371.16919
597,114,24,169995.8004,11440.85564
598,69,13,209655.1492,13693.94725
599,86,13,178012.7445,25198.70024
600,82,9,98021.49201,11234.47738
601,105,17,166923.6588,27822.36186
602,97,18,171302.989,28587.22674
603,78,11,262329.6424,6352.913027
604,51,16,312198.9894,3312.316565
605,59,18,310243.6984,14245.17443
606,52,15,296741.9926,9154.748986
607,46,12,306480.26,24844.02026
608,51,13,242018.7568,11795.66205
609,82,20,181037.0509,15271.13093
610,85,11,151813.0191,31651.0922
611,99,9,131689.5161,26774.65392
612,66,9,43208.49377,15419.22148
613,104,12,65363.57276,32570.28073
614,114,10,29253.55275,14524.46577
615,95,14,100681.4275,6496.129829
616,76,15,75035.24217,8581.899121
617,103,17,35546.85996,23421.11784
618,118,14,17542.8539,42362.86743
619,104,10,42419.83538,15527.5117
620,68,11,125360.4904,16015.71147
621,88,13,193641.3097,10825.54219
622,74,17,313403.4851,18330.86172
623,99,14,276031.0341,15996.72652
624,93,8,303517.9534,10997.95782
625,87,29,251263.4482,7903.984384
626,106,24,161249.5283,8056.735127
627,87,21,124725.6697,27356.39872
628,47,11,117951.0297,23185.92144
629,84,13,156681.9397,14740.255
630,57,10,200813.1961,14442.2246
631,61,13,235874.9728,21686.83744
632,43,21,126736.5612,17776.98268
633,87,15,44926.17145,28007.91006
634,86,12,147148.9652,65052.89822
635,104,12,22339.24398,47600.27404
636,78,19,35987.26523,22517.21685
637,95,13,43773.65855,19017.44997
638,58,13,99135.67165,10152.37709
639,61,8,83406.83911,25206.11375
640,73,14,79251.50008,8359.875052
641,96,23,48585.27505,13105.36683
642,108,16,109225.6968,16459.76681
643,107,11,129692.5594,23136.75949
644,101,15,128188.4145,9499.674767
645,112,17,135942.2718,12327.52199
646,21,10,132901.7691,14730.49618
647,40,10,90555.13208,28731.93293
648,52,25,83218.63996,12040.82085
649,113,14,39000.38582,21022.90139
650,87,8,13168.6438,39446.28359
651,96,10,78129.17106,19723.16922
652,71,20,165907.5398,20401.05112
653,29,17,189612.4826,27715.95393
654,74,13,182465.1313,21083.78075
655,65,8,106696.7108,30379.10159
656,81,18,148331.7908,6518.232474
657,93,16,218085.5239,21437.5463
658,68,9,252121.7877,17440.05975
659,80,8,292174.8389,34059.11179
660,78,19,270648.6583,7926.474204
661,106,20,246410.6735,12271.55398
662,61,13,219174.0965,8268.642004
663,85,11,188720.9454,23883.35934
664,83,11,203710.406,6804.685233
665,71,10,177721.1377,10345.93192
666,113,21,183216.9411,9230.638151
667,115,8,160947.4521,11999.84831
668,94,18,170543.6676,10187.55888
669,113,16,186509.9475,19449.85637
670,74,17,121546.6521,11953.88871
671,83,10,42126.56357,11155.99583
672,74,17,28444.54842,20525.71387
673,104,13,32026.02371,64536.92702
674,126,10,15373.15435,25774.23625
675,113,12,25547.26465,23610.52655
676,96,10,47139.25597,15534.6971
677,88,19,90818.23538,20882.22638
678,63,11,121173.5905,22956.20627
679,87,14,290278.7562,19246.8994
680,94,12,205139.1036,22441.54346
681,100,11,179738.3837,21692.14877
682,98,14,200274.8017,3757.775668
683,107,12,176047.8606,7838.557964
684,43,12,166209.9034,9071.897787
685,70,13,101322.0179,4172.030335
686,44,13,174731.669,6976.887009
687,49,9,226274.6572,280.9202667
688,55,16,239206.5625,7494.045906
689,81,15,194214.5319,25872.05343
690,100,12,159346.9828,46913.90732
691,105,8,167206.4272,42352.48822
692,119,12,126662.2853,13867.81379
693,97,15,101324.1755,22838.72759
694,71,14,155953.7783,10774.01956
695,78,10,212871.148,21539.16114
696,78,16,193000.0892,44554.69545
697,100,19,136830.3772,62988.74879
698,96,16,50175.5039,17161.35573
699,84,16,15445.27854,11373.83774
700,66,14,70508.60496,11158.33428
701,78,21,85922.74192,8497.568571
702,67,18,115668.166,8598.821824
703,70,8,30844.80349,11315.10613
704,69,18,33365.98052,1277.523503
705,94,28,10852.53777,13445.81944
706,93,19,12622.381,20643.87761
707,104,12,15313.1428,10735.28371
708,67,13,56327.84278,15446.47623
709,76,13,50023.27402,23182.0491
710,88,13,28989.72952,11829.73826
711,70,8,93037.68004,12764.49281
712,61,19,72762.94085,7674.709345
713,92,15,94027.83151,16923.69173
714,99,12,50567.69375,2594.151006
715,98,11,64710.73536,12481.00115
716,98,13,36910.14255,6264.000696
717,107,12,201461.722,2932.091893
718,66,16,236518.9576,14800.89396
719,85,8,211310.0922,8095.732756
720,64,13,258226.9292,41068.62672
721,80,14,224666.236,67523.85601
722,88,16,230841.5719,13838.39128
723,98,18,175230.3926,18424.29805
724,64,13,238077.2987,15213.19075
725,63,19,303871.2113,13069.83666
726,44,13,306381.0578,20970.5426
727,62,9,251706.9245,9661.105673
728,65,16,215457.3522,12404.2173
729,85,8,164087.8344,15450.15857
730,94,9,148344.2766,1576.382231
731,114,12,164143.9356,493.0034255
732,84,12,168703.8466,1290.845639
733,65,23,220631.9766,6478.087022
734,69,27,205607.1322,7544.655457
735,71,16,243937.7366,16654.13427
736,84,20,240984.6952,10209.57623
737,107,11,148854.6245,7267.535083
738,68,17,151525.0928,5125.450346
739,69,11,29969.93181,13098.13213
740,52,18,64444.79563,14291.33172
741,93,15,23113.98892,33071.00448
742,72,19,34345.49346,11380.16694
743,34,14,72973.16505,24933.54936
744,67,13,73397.35831,15396.94962
745,100,16,102243.8453,1747.683977
746,109,15,125557.1666,12042.77635
747,112,13,72247.80669,5212.833956
748,118,14,36946.45627,3026.685539
749,112,31,6986.036297,16617.78133
750,86,23,13274.60059,5884.718522
751,76,18,61253.07497,5853.184484
752,71,14,81072.75589,457.3825441
753,87,10,42457.97775,62832.87212
