step_time,reward_onnut,reward_virtual,total_travel_time_onnut,total_travel_time_virtual
56520.0,59,9,15739.349702726959,9908.200160964643
56535.0,81,2,10489.956924537611,10545.302970471397
56550.0,90,13,781.6770939776688,6008.114286072971
56565.0,100,20,16526.31931799395,9167.31105902356
56580.0,67,12,13800.971243427812,2719.528969627295
56595.0,78,12,18377.932904711186,21.31742350990205
56610.0,75,22,12964.69277211328,20.353794685696887
56625.0,72,8,11726.698864636219,2497.250168828296
56640.0,62,20,18240.34459134421,2889.7871260835195
56655.0,55,8,15539.61134838509,56.24954734031669
56670.0,80,9,23781.60773836337,26.277356317540733
56685.0,98,21,24293.153963637273,326.7323998187024
56700.0,57,15,16860.820604747896,4226.565790733866
56715.0,63,18,15312.558438422464,2101.7155064272984
56730.0,43,16,11616.505531238672,6918.372656058692
56745.0,64,22,4210.234313464972,7679.652843208598
56760.0,92,19,2512.5625826324335,7669.853472302265
56775.0,60,20,4387.318438290827,7221.281730027719
56790.0,61,7,7601.085042540408,9620.746764475658
56805.0,49,3,14669.797839619418,6843.851620339052
56820.0,35,11,16014.238402573397,8437.360347900967
56835.0,33,18,7727.7906882326115,6852.140306603814
56850.0,75,8,10088.043455147186,5146.367804901214
56865.0,62,10,13845.245661895291,12686.126154078172
56880.0,49,9,15738.02297943047,14501.571718791343
56895.0,65,6,20151.224109439616,22628.89594560936
56910.0,46,7,13808.45902008634,22622.435109977945
56925.0,80,3,10704.610788582057,22623.158215786272
56940.0,80,9,8079.141974396301,18947.065905237927
56955.0,62,8,17671.700857665317,12815.628205162804
56970.0,98,6,5744.417668734078,12115.37721054424
56985.0,77,9,1428.2674749404614,15431.89502032343
57000.0,89,3,2800.508112064276,17515.216555987463
57015.0,64,12,2009.1885672968267,18256.28843969813
57030.0,58,13,15227.3367631113,14493.032968663148
57045.0,70,9,10999.304142931122,8681.790140552566
57060.0,40,22,14572.734029462563,8658.801520013378
57075.0,72,9,13834.043701716037,5209.160834439006
57090.0,96,22,23298.66046820726,3320.4431391328653
57105.0,85,19,19082.24920161669,4513.350079708856
57120.0,78,19,13884.138269286064,4688.701446648583
57135.0,82,19,11834.659612621495,2426.2975242000043
57150.0,103,18,10968.093133949083,3679.2734376233193
57165.0,110,22,1562.783641290484,5924.855683045463
57180.0,96,7,10780.940789840644,2489.1135095542404
57195.0,99,19,3349.41269796813,9.257914655067738
57210.0,102,19,5238.798712219913,20.1636199320055
57225.0,112,8,43.209418001504766,2407.389634299962
57240.0,115,15,6329.212096790017,192.64479930639004
57255.0,101,18,11943.178259789356,37.99504225958755
57270.0,70,21,8388.728053307026,70.06808190506281
57285.0,81,22,635.9900916804819,1158.855506016301
57300.0,91,11,9580.779930924624,5198.592567934857
57315.0,85,18,12669.5860558551,798.366158460407
57330.0,70,16,8397.911094421148,19.564374612919597
57345.0,70,22,657.135150757466,767.3550695435223
57360.0,71,13,6238.999943309459,2750.998729864021
57375.0,58,18,5216.293141264638,1044.2194915058603
57390.0,96,21,698.426580034502,6219.238014695091
57405.0,102,22,6054.278408441743,1132.3787580736748
57420.0,90,14,5141.306678497168,302.8474850567439
57435.0,89,12,5233.488022288326,3627.3319886217346
57450.0,105,15,279.4437488516232,138.13615157396296
57465.0,113,11,1419.2518273366968,164.93437730470234
57480.0,91,12,139.88964128187013,2432.2603303605315
57495.0,85,11,5346.778553606843,49.3625058231548
57510.0,91,26,11594.89249994616,517.6207608681663
57525.0,80,27,14558.202972285486,61.680510148663735
57540.0,77,22,20697.2408418627,1045.3808683790237
57555.0,68,17,14606.75910629123,24.476122954313087
57570.0,100,22,15739.347009771469,27.423629013786496
57585.0,109,21,20474.011361956633,781.6606012229861
57600.0,89,11,14532.073662498886,85.50373324092334
57615.0,81,16,9852.360107328595,5419.844277419879
57630.0,79,17,9914.817821262035,928.1194722772813
57645.0,82,15,17074.037435688282,1553.7394093184298
57660.0,83,14,17686.055637786347,47.541149137619186
57675.0,69,11,14555.66021774,156.27603182688767
57690.0,79,21,18853.27450900182,7576.574542509309
57705.0,73,16,17160.404065103972,114.13589413900533
57720.0,71,11,12991.414380888038,1120.9251894130796
57735.0,85,15,13686.731767717743,41.02746373627681
