,action_onnut,action_virtual,reward_onnut,reward_virtual,travel_time_onnut,travel_time_virtual,teleport_number
174,2,1,67,5,327.56955477382866,2988.0167867059845,0
175,2,1,73,9,1014.7289574953189,2957.765734089573,0
176,1,1,46,9,38.47282676560223,3053.4795574399323,0
177,1,1,44,4,431.7090173832398,2987.0549592121106,0
178,1,3,33,9,192.3264605552156,2924.4276017703774,0
179,2,1,55,2,1122.101793983597,3053.6831473388675,0
180,2,1,63,5,1601.3175117864018,3115.257590227243,0
181,2,1,59,8,1560.7343216018687,2892.8641970589215,0
182,1,1,47,5,952.0575365352544,3012.591529449396,0
183,1,1,37,7,70.79721255301119,3087.751121911094,0
184,1,1,35,1,1118.8630854732285,3053.458698293392,0
185,2,1,36,8,1219.5414665727608,3080.286964819369,0
186,2,1,45,24,4825.504724701347,2979.842764264605,0
187,2,1,37,4,4717.148603435106,2906.6466700197225,0
188,1,3,48,8,4717.414104382918,3080.2932136927448,0
189,1,1,53,8,3540.9495818532237,2980.0904869380715,0
190,1,1,39,5,3583.1654171927617,2987.069476970809,0
191,2,1,53,10,3508.8902630344405,3084.378051456857,0
192,2,1,102,1,3629.3111849381485,3087.7499264718454,0
193,2,1,100,10,3610.5555724100745,3080.2869248423794,0
194,1,1,66,11,3500.751958175174,2923.52110236975,0
195,1,1,43,1,3799.079181971544,2944.232945972902,0
196,1,3,36,6,3608.526012124109,3046.039305775981,0
197,2,1,75,9,4031.8277487585938,2916.4467411924793,0
198,2,1,98,10,4287.185953586087,2885.823737082362,0
199,2,1,99,2,4978.262534830441,3033.002708140036,0
200,1,1,52,3,4545.904692465419,3115.2631597721156,0
201,1,1,30,8,4268.079227614756,2947.837757595901,0
202,1,1,27,0,4081.927254889559,2979.9438013787285,0
203,2,1,41,13,4032.6255275925464,3044.3072604557105,0
204,2,1,79,13,3978.7007297723244,2369.6814786428413,0
205,2,1,65,17,2270.745067013859,1729.2440923461018,0
206,1,3,53,9,222.75613574958606,1755.525966437057,0
207,1,1,55,15,707.4864555939167,2590.022818937353,0
208,1,1,26,10,737.2585648741215,1926.389652986085,0
209,2,1,53,13,668.4032918195961,1860.5115408335982,0
210,2,1,55,19,405.51334856014387,1201.4094335077355,0
211,2,1,66,19,448.4073599063237,1295.8753381107515,0
212,1,1,53,14,437.6753705161814,1586.5104860735291,0
213,1,1,55,8,3131.1332280395472,2002.4056308313995,0
214,1,3,48,10,3059.691826309215,2371.1548883048686,0
215,2,1,63,2,3665.560843298597,2408.018971676047,0
