step_time,reward_onnut,reward_virtual,total_travel_time_onnut,total_travel_time_virtual
55860.0,81,4,328.44884873377435,3014.5324210703047
55875.0,69,6,312.5729623105862,2932.175527045779
55890.0,87,11,103.95154231201519,2814.9091046572967
55905.0,69,10,214.36228248265363,2821.5615384781577
55920.0,87,1,296.8790473232675,2932.2527409794366
55935.0,61,3,279.8826178335985,2963.0870415986406
55950.0,66,9,110.51700962680447,2872.3424832917594
55965.0,67,8,112.34061963444051,2732.9392947012575
55980.0,96,1,249.36635971885482,2902.4908290799317
55995.0,59,4,111.27107257850484,2963.0333281337216
56010.0,89,9,131.1153754466735,2759.7239143956244
56025.0,63,7,221.03024173871958,2680.9749836442184
56040.0,79,5,102.34769450861715,2963.0816476499963
56055.0,63,2,147.4715510224616,2901.957618414411
56070.0,80,9,102.96374181001917,2901.9529535763118
56085.0,64,7,114.32619644050382,2815.0584980527638
56100.0,45,2,127.93805467535759,2972.9386868234405
56115.0,35,4,108.63515922419374,3026.751504743201
56130.0,40,7,118.90060200509012,2879.963844449129
56145.0,49,3,119.42768465454495,2814.990849078535
56160.0,95,3,25.970740673795646,3083.4195704451377
56175.0,78,4,6.330290871130169,2931.166716616418
56190.0,101,9,8.20979861019277,2890.9097613942663
56205.0,59,14,16.91531765838722,2790.5632838041483
56220.0,53,0,126.17765548947472,3058.9352086937824
56235.0,68,5,98.7299335910611,3179.8861984216737
56250.0,72,9,119.34011204897416,2940.565799977764
56265.0,97,13,341.9368793962249,2878.6644619059725
56280.0,72,2,80.05514940692129,3015.064723129488
56295.0,90,6,333.1088493801886,3038.571181675689
56310.0,71,10,78.94733747387976,2909.28871002929
56325.0,73,12,1255.67545454741,2878.6840043574566
56340.0,43,2,1300.4521537014377,3015.062415265218
56355.0,47,5,1921.6253220865776,3107.6210852400895
56370.0,53,11,1068.2313112889406,2909.2800360415117
56385.0,51,5,1118.6471017047384,2972.549770671477
56400.0,44,6,3244.053158023786,3038.591975913557
56415.0,87,6,3560.6148149873316,3005.2117854981902
56430.0,67,1,514.4596856291146,3107.6328045602204
56445.0,74,24,1435.387562071912,2482.196802173977
56460.0,60,10,2153.984945221582,2263.448231052587
56475.0,50,4,2581.9910533357356,2461.905568969733
56490.0,29,9,4904.686795505096,1532.7289405167999
56505.0,53,10,5051.325671240433,1755.9236654904614
56520.0,33,1,5044.0581355918885,3127.5946738553594
56535.0,42,4,4953.062798505719,3241.7988130244253
56550.0,34,8,4723.24587240781,1137.0499057368572
56565.0,28,5,4685.289604184742,2448.7682501882755
56580.0,26,3,4776.011590666939,3131.9136148556586
56595.0,59,4,4359.942904274542,3171.0407328668043
56610.0,71,6,4313.054161184253,3131.872931212935
56625.0,92,8,3686.924389168873,3102.7979914854623
56640.0,89,1,4174.855169227414,3218.991655475177
56655.0,88,16,4164.457006917928,2704.1707209368615
56670.0,50,21,4100.222783794262,1166.937638872386
56685.0,69,14,4157.900954475748,4.591347873212596
56700.0,47,18,4346.407531699879,120.4244367888326
56715.0,64,21,4228.788037434963,114.19339390028037
56730.0,63,24,4089.942689175921,897.0343564136907
56745.0,68,19,4591.266618872484,2120.645056751728
56760.0,43,10,4114.926381192833,1451.8151433412581
56775.0,51,17,3279.058713786502,673.9958843475586
56790.0,62,16,3277.970070080346,595.9565084612876
56805.0,83,14,3360.7522272460565,694.0069737653682
56820.0,44,15,3495.629324598458,814.5691071715444
56835.0,70,18,731.6225904458377,301.80252030593425
56850.0,49,21,432.328232281353,358.87991612246253
56865.0,74,25,436.7797589809226,421.298018707706
56880.0,52,6,341.2122236201995,1063.3225295465295
56895.0,73,6,3058.2816805681464,1084.6305227651396
56910.0,51,19,3384.4448910213673,1999.2335628891447
56925.0,74,14,3684.0254278136745,2361.2604683177665
56940.0,55,1,3266.9613172955765,2572.555796964818
56955.0,72,3,3976.460561943537,2600.01976210894
56970.0,40,15,3796.208289410487,2462.12442246017
56985.0,54,15,4019.361071314355,2496.4003578018314
57000.0,34,11,3324.347390347981,2191.0989634712937
57015.0,78,14,4133.037584531701,884.6968833626914
57030.0,55,19,3590.5408821262736,996.1344610024705
57045.0,68,18,2648.5111667396022,35.5138425115137
57060.0,69,14,2869.1220743530153,59.39290906853133
57075.0,63,12,3787.5091326916186,1.2543008878041713
57090.0,64,14,3693.9752802118437,0.9160508584067104
57105.0,62,21,3770.6652871244714,68.93413100896367
57120.0,55,12,3492.977399317295,50.64043259637996
57135.0,60,14,3681.3043615309252,152.77099800820972
57150.0,53,24,3713.8408528274795,1869.1314622928926
57165.0,55,21,3851.29149035933,962.2813492585643
57180.0,43,14,3434.7973517902055,1152.0910335485376
57195.0,64,16,3379.2926152013256,1205.808770411483
57210.0,55,22,3461.132080456572,1158.9294033168876
57225.0,33,21,3671.3699710119304,1156.5659915318072
57240.0,32,17,3887.809061017021,1403.7707287540259
57255.0,33,21,3687.839054185915,1540.509785045672
57270.0,41,27,3845.3948268107097,2223.0507018219505
57285.0,36,9,913.1566283315337,2239.281866124373
57300.0,87,2,2988.458806455696,2413.0285273580157
57315.0,115,7,2489.613717965693,2583.4674979318443
57330.0,59,16,2446.83754224807,1474.9032264867892
57345.0,79,19,283.7927546993537,92.98564668933845
57360.0,48,12,26.781779850395353,482.28737081536383
57375.0,71,6,2622.878903190411,141.55778504630274
57390.0,77,15,2686.630294967885,72.32804891184497
57405.0,49,12,2552.579046430139,89.19864795013238
57420.0,65,8,157.32593657365123,219.26421962827152
57435.0,56,13,2573.169625828723,105.87029249757592
57450.0,73,20,2953.367900598146,527.1611189446576
57465.0,51,31,206.64761661535502,580.6812734662873
57480.0,72,4,299.77132264299274,1895.8002063689873
57495.0,63,11,436.20871234322624,2631.5606142948827
57510.0,53,12,888.3036752266311,2541.86083688553
57525.0,40,10,1005.6935055533111,2493.6868903328846
57540.0,76,1,274.1589023699033,2637.7037550878463
57555.0,71,5,50.81779926973306,2727.8270656429168
57570.0,95,11,75.63276582708475,2602.8558130209453
57585.0,70,10,112.88702734654503,2103.7583723782072
57600.0,58,14,71.96891407666635,1027.0707684411457
57615.0,109,16,49.86602298246094,426.91221459687415
57630.0,82,24,127.40599877530741,2279.08366702333
57645.0,91,22,27.060071311280915,583.2990766109018
57660.0,81,16,140.2574618673446,526.2784610323386
57675.0,90,15,9.531406959780643,62.8700638641885
57690.0,81,20,8.626142647755334,34.60862607492613
57705.0,57,22,10.188352716831213,54.79377155676704
57720.0,96,14,219.29355734027985,481.12670183039774
57735.0,65,15,29.226539814945628,1280.0748757905421
57750.0,88,13,636.6156074188219,1369.0511944852353
57765.0,65,18,437.84607973913785,523.9742595482676
57780.0,75,6,806.1547953728077,38.013547654362476
57795.0,89,4,880.6822254625334,172.28320627510243
57810.0,82,0,1110.4761218554634,560.4924538820958
57825.0,49,17,327.40924054065425,865.0605367239618
57840.0,84,2,321.25779344763663,914.7272178901408
57855.0,83,9,913.1239362947244,2034.5026006116009
57870.0,36,16,957.8772715625684,2327.348156842957
57885.0,57,1,820.6362637366176,1196.3170824928534
57900.0,79,7,351.43970043789545,1440.512160109172
57915.0,80,0,468.8143470131389,2948.9686214840904
57930.0,69,11,397.18407309605243,2863.477626644255
57945.0,52,20,286.55526721847116,2716.8215896847028
57960.0,81,3,283.55134414939135,2832.3542186340856
57975.0,83,9,286.9253407397927,2905.583317549211
57990.0,63,12,926.8952464182674,2824.6841650222473
58005.0,58,8,2719.2335074514826,2768.1399531124944
58020.0,64,4,1955.853197441397,2909.7544937151606
58035.0,57,4,1942.609742911499,3136.1630278890293
58050.0,53,9,1119.875123973608,2863.4900101417047
58065.0,36,0,479.33473151636065,2993.6428694093083
58080.0,79,5,309.9066678249825,3292.9674681802303
58095.0,75,0,339.43595324919005,3039.686847260335
58110.0,56,11,1079.4990916115778,2905.588664772805
58125.0,50,12,2328.294557548304,2763.787615045713
58140.0,63,8,1853.8179782907785,2905.6266423831617
58155.0,57,10,1878.8045186073693,2993.62872362884
58170.0,35,7,2178.5827365928317,3003.7120674244156
58185.0,55,5,1699.2989048442507,3066.2145170957747
58200.0,87,4,1779.9330709588562,3186.762381188608
58215.0,76,4,1786.8295391172928,3163.545912408629
58230.0,66,0,2699.6904002097435,3239.01689880858
58245.0,54,12,2097.1798079522405,3114.152776482978
58260.0,71,3,2211.6984114917996,3039.695771676853
58275.0,80,4,1806.2814379724466,3255.02092554162
58290.0,46,2,2329.9914579933206,3136.1689609402265
58305.0,64,7,1855.5236379061537,3214.5627466947885
58320.0,78,1,1387.6101143146261,3186.7430457515884
58335.0,86,6,1607.390928650306,3151.6920464963937
58350.0,73,2,865.8389562715045,3136.1839087356184
58365.0,77,6,52.57127516768351,3163.5384847483965
58380.0,113,1,50.99505150132101,3280.4982678976726
58395.0,87,13,53.92403631405779,2580.954381466496
58410.0,103,11,88.0285697901322,1222.8868397300384
58425.0,51,21,313.1376392903603,40.57758252547804
58440.0,45,13,370.64345211178187,67.126001028775
58455.0,52,15,19.819747900656978,410.41529189891827
58470.0,49,16,308.0882139506531,13.859540133772335
58485.0,50,14,308.29536921713253,132.74313917690938
58500.0,88,13,389.64996963601703,1189.2379160842129
58515.0,92,13,487.0152152681301,1403.6050838857736
58530.0,56,21,338.05135646336834,1375.5625129926918
58545.0,57,13,414.7232942128937,1143.0491124147097
58560.0,59,16,592.8928031758775,1388.1204402161457
58575.0,45,15,323.15422295678195,1385.8645667611147
58590.0,59,22,556.0992314281854,1555.5320990628616
58605.0,64,20,482.4571434841636,1043.8606267657508
58620.0,52,17,381.4589324499333,867.7633411647914
58635.0,82,14,475.7188595163817,1574.3622870243375
58650.0,51,9,320.24019497690625,1562.2120053449576
58665.0,90,1,100.48988472481169,2304.47881343469
58680.0,91,6,5.03542977162077,2278.515930224676
58695.0,94,6,9.379137963222707,2079.6954683462777
58710.0,88,22,72.0838864557553,1829.8719796553876
58725.0,108,15,4.871781199023359,1467.7392686247915
58740.0,83,19,28.38526815322441,168.65332372542954
58755.0,101,14,75.53355345759466,5.107307016201149
58770.0,102,21,5.2349199657313,1.9600691265030135
58785.0,113,24,6.083361335170737,26.705146617580873
58800.0,92,12,11.371359524801745,57.327629234277985
58815.0,103,15,4.018528839075725,2026.6366590521945
58830.0,90,18,7.955975338333204,68.16914704907397
58845.0,115,15,10.36661076809464,25.85316727558494
58860.0,119,16,34.39303433090937,17.879984494235366
58875.0,99,12,2393.6215496643886,7.031581980901817
58890.0,112,21,2405.1145842067212,827.710700022055
58905.0,82,19,1901.9760792927311,247.66283226541006
58920.0,95,16,1799.2910933076416,184.65229686110004
58935.0,100,18,2170.0314562563117,9.789539702088657
58950.0,82,22,2662.9826185727566,4.494737276908676
58965.0,77,22,2719.610368873855,305.15375904889396
58980.0,81,14,2669.796444723679,300.21722646374974
58995.0,75,20,2703.4530727748543,2301.420792209067
59010.0,66,23,2665.8480992458017,11.86638460572838
59025.0,74,22,2800.1871275418425,60.74805731550923
59040.0,74,15,2651.353242944711,408.5212693257039
59055.0,67,16,2755.8996594200103,412.28573026801513
59070.0,88,16,1934.8688575958897,9.427531840826886
59085.0,100,11,1974.6533488188293,29.22800449270271
59100.0,96,15,2364.703233808524,20.081619364502735
59115.0,95,13,2175.1366666415825,136.38620481808513
59130.0,87,19,2253.9645898947188,2162.2379944333697
59145.0,86,15,1992.060729194596,42.99811622112864
59160.0,86,12,2065.7757011823414,1656.1644038036325
59175.0,95,17,305.5454444406475,43.06552866145236
59190.0,59,23,823.2940096198272,25.1142793313539
59205.0,88,15,2203.9802526388553,11.29001785002145
59220.0,77,17,2178.8334803252974,397.4317521724633
59235.0,68,15,2186.198460308187,474.7307379114743
59250.0,62,21,2511.934039494283,48.56219735408047
59265.0,77,17,2230.4707254380396,40.88998497159531
59280.0,45,17,2024.8705292453815,132.03117837501898
59295.0,52,19,13.650919140508064,27.52728651879395
59310.0,71,21,9.890480919066508,14.726993659135141
59325.0,74,20,8.683814890767911,17.17885190013278
59340.0,47,16,33.88573329738821,487.2159277435649
59355.0,53,15,8.35153439426688,1206.9292257210832
59370.0,90,15,4.006857744444183,2278.989454138547
59385.0,74,21,14.359129446546513,44.48889767837798
59400.0,66,15,103.87190466841469,16.784357253093695
59415.0,49,16,74.90259867562825,39.40567339468553
59430.0,81,16,345.89573558134435,1938.8391440386606
59445.0,72,13,325.5658689833052,18.797046090847523
59460.0,58,15,126.87611439537956,7.548365201514333
59475.0,82,15,653.8558804622675,226.03066750528583
59490.0,86,22,500.99535835542304,8.827266354719217
59505.0,55,17,501.958246220371,14.722482017514633
59520.0,82,14,817.3856161838406,10.244608595034109
59535.0,82,16,99.33463692660803,114.49928680551326
59550.0,70,22,284.4696345615047,17.3778749840059
59565.0,111,23,55.062965213602666,1444.7252746183813
59580.0,67,11,82.67930626025182,2132.7442755141556
59595.0,78,20,69.4446925118968,29.459851863539292
59610.0,79,20,98.52416243606147,26.081145482504283
59625.0,99,15,777.0991412790039,368.94834024750514
59640.0,73,15,2431.11767252999,440.65920919928624
59655.0,67,16,1148.2389525913577,32.721386345159196
59670.0,88,7,2484.4284700301746,133.20151194241498
